Electrolyte Lot No,RF Lot No,Count,,RF Lot No,OK Count,NFF Count,SCRAP Count,,RF Lot No,OLD PCB,BARCODE MISSING,DRV BURN,TRACK DAMAGE,CHILD CARD,WATER DAMAGE,COMPONENT CHANGE,,Part Code,OK Count,NFF Count,SCRAP Count,,Component,Total Count
LOT NO 04,RF LOT NO 76,1,,,,,,,,,,,,,,,,,,,,,,
LOT NO 04,RF LOT NO 81,17,,,,,,,,,,,,,,,,,,,,,,
LOT NO 04,RF LOT NO 80,11,,,,,,,,,,,,,,,,,,,,,,
LOT NO 04,RF LOT NO 74,9,,,,,,,,,,,,,,,,,,,,,,
LOT NO 04,RF LOT NO 68,17,,,,,,,,,,,,,,,,,,,,,,
LOT NO 04,RF LOT NO 86,32,,,,,,,,,,,,,,,,,,,,,,
LOT NO 04,RF LOT NO 78,2,,,,,,,,,,,,,,,,,,,,,,
LOT NO 04,NA,2,,,,,,,,,,,,,,,,,,,,,,
LOT NO 04,RF LOT NO 77,6,,,,,,,,,,,,,,,,,,,,,,
LOT NO 04,RF LOT NO 79,16,,,,,,,,,,,,,,,,,,,,,,
LOT NO 04,RF LOT NO 83,17,,,,,,,,,,,,,,,,,,,,,,
LOT NO 04,RF LOT NO 84,15,,,,,,,,,,,,,,,,,,,,,,
LOT NO 04,RF LOT NO 82,23,,,,,,,,,,,,,,,,,,,,,,
LOT NO 05,RF LOT NO 72,129,,,,,,,,,,,,,,,,,,,,,,
LOT NO 05,RF LOT NO 86,171,,,,,,,,,,,,,,,,,,,,,,
LOT NO 05,RF LOT NO 02,2854,,,,,,,,,,,,,,,,,,,,,,
LOT NO 05,RF LOT NO 70,6,,,,,,,,,,,,,,,,,,,,,,
LOT NO 05,RF LOT NO 82,7,,,,,,,,,,,,,,,,,,,,,,
LOT NO 05,RF LOT NO 68,2,,,,,,,,,,,,,,,,,,,,,,
LOT NO 05,RF LOT NO 79,8,,,,,,,,,,,,,,,,,,,,,,
LOT NO 06,RF LOT NO 02,2176,,,,,,,,,,,,,,,,,,,,,,
LOT NO 06,RF LOT NO 72,40,,,,,,,,,,,,,,,,,,,,,,
LOT NO 06,RF LOT NO 70,2,,,,,,,,,,,,,,,,,,,,,,
LOT NO 06,RF LOT NO 86,340,,,,,,,,,,,,,,,,,,,,,,
LOT NO 06,RF LOT NO 81,1,,,,,,,,,,,,,,,,,,,,,,
LOT NO 07,RF LOT NO 03,1422,,,,,,,,,,,,,,,,,,,,,,
LOT NO 07,RF LOT NO 70,2,,,,,,,,,,,,,,,,,,,,,,
LOT NO 07,RF LOT NO 02,3383,,,,,,,,,,,,,,,,,,,,,,
LOT NO 07,RF LOT NO 81,1,,,,,,,,,,,,,,,,,,,,,,
LOT NO 07,RF LOT NO 82,2,,,,,,,,,,,,,,,,,,,,,,
LOT NO 07,RF LOT NO 83,1,,,,,,,,,,,,,,,,,,,,,,
LOT NO 07,RF LOT NO 76,1,,,,,,,,,,,,,,,,,,,,,,
LOT NO 07,RF LOT NO 86,845,,,,,,,,,,,,,,,,,,,,,,
LOT NO 07,RF LOT NO 68,1,,,,,,,,,,,,,,,,,,,,,,
LOT NO 07,NA,1,,,,,,,,,,,,,,,,,,,,,,
LOT NO 08,RF LOT NO 72,113,,,,,,,,,,,,,,,,,,,,,,
LOT NO 08,RF LOT NO 03,3237,,,,,,,,,,,,,,,,,,,,,,
LOT NO 08,NA,40,,,,,,,,,,,,,,,,,,,,,,
LOT NO 08,RF LOT NO 02,688,,,,,,,,,,,,,,,,,,,,,,
LOT NO 08,RF LOT NO 86,103,,,,,,,,,,,,,,,,,,,,,,
LOT NO 08,RF LOT NO 82,20,,,,,,,,,,,,,,,,,,,,,,
LOT NO 08,RF LOT NO 79,3,,,,,,,,,,,,,,,,,,,,,,
LOT NO 08,RF LOT NO 81,1,,,,,,,,,,,,,,,,,,,,,,
LOT NO 08,RF LOT NO 84,7,,,,,,,,,,,,,,,,,,,,,,
LOT NO 08,RF LOT NO 83,2,,,,,,,,,,,,,,,,,,,,,,
LOT NO 08,RF LOT NO 74,5,,,,,,,,,,,,,,,,,,,,,,
LOT NO 08,RF LOT NO 70,2,,,,,,,,,,,,,,,,,,,,,,
LOT NO 08,RF LOT NO 68,1,,,,,,,,,,,,,,,,,,,,,,
LOT NO 09,RF LOT NO 04,1144,,,,,,,,,,,,,,,,,,,,,,
LOT NO 09,RF LOT NO 72,17,,,,,,,,,,,,,,,,,,,,,,
LOT NO 09,RF LOT NO 03,661,,,,,,,,,,,,,,,,,,,,,,
LOT NO 09,RF LOT NO 82,1,,,,,,,,,,,,,,,,,,,,,,
LOT NO 09,RF LOT NO 70,1,,,,,,,,,,,,,,,,,,,,,,
LOT NO 09,RF LOT NO 81,1,,,,,,,,,,,,,,,,,,,,,,
LOT NO 10,RF LOT NO 03,2837,,,,,,,,,,,,,,,,,,,,,,
LOT NO 10,RF LOT NO 77,2,,,,,,,,,,,,,,,,,,,,,,
LOT NO 10,RF LOT NO 76,1,,,,,,,,,,,,,,,,,,,,,,
LOT NO 10,RF LOT NO 02,18,,,,,,,,,,,,,,,,,,,,,,
LOT NO 10,RF LOT NO 81,1,,,,,,,,,,,,,,,,,,,,,,
LOT NO 10,RF LOT NO 04,806,,,,,,,,,,,,,,,,,,,,,,
LOT NO 10,RF LOT NO 83,4,,,,,,,,,,,,,,,,,,,,,,
LOT NO 10,RF LOT NO 68,6,,,,,,,,,,,,,,,,,,,,,,
LOT NO 10,RF LOT NO 70,19,,,,,,,,,,,,,,,,,,,,,,
LOT NO 10,RF LOT NO 82,6,,,,,,,,,,,,,,,,,,,,,,
LOT NO 10,RF LOT NO 80,1,,,,,,,,,,,,,,,,,,,,,,
LOT NO 11,RF LOT NO 04,2214,,,,,,,,,,,,,,,,,,,,,,
LOT NO 11,RF LOT NO 03,168,,,,,,,,,,,,,,,,,,,,,,
LOT NO 11,RF LOT NO 70,6,,,,,,,,,,,,,,,,,,,,,,
LOT NO 11,RF LOT NO 02,8,,,,,,,,,,,,,,,,,,,,,,
LOT NO 11,RF LOT NO 76,4,,,,,,,,,,,,,,,,,,,,,,
LOT NO 11,RF LOT NO 79,3,,,,,,,,,,,,,,,,,,,,,,
LOT NO 11,RF LOT NO 82,5,,,,,,,,,,,,,,,,,,,,,,
LOT NO 11,RF LOT NO 72,2,,,,,,,,,,,,,,,,,,,,,,
LOT NO 11,RF LOT NO 83,3,,,,,,,,,,,,,,,,,,,,,,
LOT NO 11,RF LOT NO 68,3,,,,,,,,,,,,,,,,,,,,,,
LOT NO 11,RF LOT NO 80,2,,,,,,,,,,,,,,,,,,,,,,
LOT NO 11,RF LOT NO 81,2,,,,,,,,,,,,,,,,,,,,,,
LOT NO 11,RF LOT NO 74,4,,,,,,,,,,,,,,,,,,,,,,
LOT NO 11,RF LOT NO 77,3,,,,,,,,,,,,,,,,,,,,,,
LOT NO 11,NA,1,,,,,,,,,,,,,,,,,,,,,,
LOT NO 12,RF LOT NO 04,1027,,,,,,,,,,,,,,,,,,,,,,
LOT NO 12,NA,19,,,,,,,,,,,,,,,,,,,,,,
LOT NO 12,RF LOT NO 74,1,,,,,,,,,,,,,,,,,,,,,,
LOT NO 12,RF LOT NO 03,42,,,,,,,,,,,,,,,,,,,,,,
LOT NO 12,RF LOT NO 72,66,,,,,,,,,,,,,,,,,,,,,,
LOT NO 12,RF LOT NO 68,1,,,,,,,,,,,,,,,,,,,,,,
LOT NO 12,RF LOT NO 70,1,,,,,,,,,,,,,,,,,,,,,,
LOT NO 12,RF LOT NO 02,5,,,,,,,,,,,,,,,,,,,,,,
LOT NO 12,RF LOT NO 77,1,,,,,,,,,,,,,,,,,,,,,,
LOT NO 12,RF LOT NO 83,1,,,,,,,,,,,,,,,,,,,,,,
LOT NO 13,RF LOT NO 04,965,,,,,,,,,,,,,,,,,,,,,,
LOT NO 13,RF LOT NO 05,634,,,,,,,,,,,,,,,,,,,,,,
LOT NO 13,RF LOT NO 72,63,,,,,,,,,,,,,,,,,,,,,,
LOT NO 13,RF LOT NO 79,2,,,,,,,,,,,,,,,,,,,,,,
LOT NO 13,RF LOT NO 03,384,,,,,,,,,,,,,,,,,,,,,,
LOT NO 13,RF LOT NO 02,1,,,,,,,,,,,,,,,,,,,,,,
LOT NO 13,RF LOT NO 74,1,,,,,,,,,,,,,,,,,,,,,,
LOT NO 13,RF LOT NO 85,1,,,,,,,,,,,,,,,,,,,,,,
LOT NO 13,RF LOT NO 82,1,,,,,,,,,,,,,,,,,,,,,,
LOT NO 13,RF LOT NO 70,1,,,,,,,,,,,,,,,,,,,,,,
LOT NO 14,RF LOT NO 04,1111,,,,,,,,,,,,,,,,,,,,,,
LOT NO 14,RF LOT NO 76,3,,,,,,,,,,,,,,,,,,,,,,
LOT NO 14,RF LOT NO 82,10,,,,,,,,,,,,,,,,,,,,,,
LOT NO 14,RF LOT NO 83,6,,,,,,,,,,,,,,,,,,,,,,
LOT NO 14,RF LOT NO 03,115,,,,,,,,,,,,,,,,,,,,,,
LOT NO 14,RF LOT NO 05,1237,,,,,,,,,,,,,,,,,,,,,,
LOT NO 14,RF LOT NO 81,9,,,,,,,,,,,,,,,,,,,,,,
LOT NO 14,RF LOT NO 80,6,,,,,,,,,,,,,,,,,,,,,,
LOT NO 14,RF LOT NO 70,4,,,,,,,,,,,,,,,,,,,,,,
LOT NO 14,RF LOT NO 02,2,,,,,,,,,,,,,,,,,,,,,,
LOT NO 14,RF LOT NO 77,4,,,,,,,,,,,,,,,,,,,,,,
LOT NO 14,RF LOT NO 74,4,,,,,,,,,,,,,,,,,,,,,,
LOT NO 14,RF LOT NO 84,1,,,,,,,,,,,,,,,,,,,,,,
LOT NO 14,RF LOT NO 68,2,,,,,,,,,,,,,,,,,,,,,,
LOT NO 14,RF LOT NO 01,1,,,,,,,,,,,,,,,,,,,,,,
LOT NO 14,RF LOT NO 85,1,,,,,,,,,,,,,,,,,,,,,,
LOT NO 14,RF LOT NO 78,2,,,,,,,,,,,,,,,,,,,,,,
LOT NO 14,RF LOT NO 79,3,,,,,,,,,,,,,,,,,,,,,,
LOT NO 15,RF LOT NO 06,1023,,,,,,,,,,,,,,,,,,,,,,
LOT NO 15,RF LOT NO 60,69,,,,,,,,,,,,,,,,,,,,,,
LOT NO 15,RF LOT NO 68,110,,,,,,,,,,,,,,,,,,,,,,
LOT NO 15,RF LOT NO 85,17,,,,,,,,,,,,,,,,,,,,,,
LOT NO 15,RF LOT NO 83,13,,,,,,,,,,,,,,,,,,,,,,
LOT NO 15,RF LOT NO 54,21,,,,,,,,,,,,,,,,,,,,,,
LOT NO 15,RF LOT NO 27,1,,,,,,,,,,,,,,,,,,,,,,
LOT NO 15,RF LOT NO 04,85,,,,,,,,,,,,,,,,,,,,,,
LOT NO 15,RF LOT NO 82,88,,,,,,,,,,,,,,,,,,,,,,
LOT NO 15,RF LOT NO 02,6,,,,,,,,,,,,,,,,,,,,,,
LOT NO 15,RF LOT NO 03,104,,,,,,,,,,,,,,,,,,,,,,
LOT NO 15,RF LOT NO 61,42,,,,,,,,,,,,,,,,,,,,,,
LOT NO 15,RF LOT NO 62,26,,,,,,,,,,,,,,,,,,,,,,
LOT NO 15,RF LOT NO 58,6,,,,,,,,,,,,,,,,,,,,,,
LOT NO 15,RF LOT NO 55,17,,,,,,,,,,,,,,,,,,,,,,
LOT NO 15,RF LOT NO 47,2,,,,,,,,,,,,,,,,,,,,,,
LOT NO 15,RF LOT NO 77,23,,,,,,,,,,,,,,,,,,,,,,
LOT NO 15,RF LOT NO 79,43,,,,,,,,,,,,,,,,,,,,,,
LOT NO 15,RF LOT NO 75,3,,,,,,,,,,,,,,,,,,,,,,
LOT NO 15,RF LOT NO 76,11,,,,,,,,,,,,,,,,,,,,,,
LOT NO 15,RF LOT NO 81,51,,,,,,,,,,,,,,,,,,,,,,
LOT NO 15,RF LOT NO 53,8,,,,,,,,,,,,,,,,,,,,,,
LOT NO 15,RF LOT NO 41,5,,,,,,,,,,,,,,,,,,,,,,
LOT NO 15,RF LOT NO 78,9,,,,,,,,,,,,,,,,,,,,,,
LOT NO 15,RF LOT NO 70,5,,,,,,,,,,,,,,,,,,,,,,
LOT NO 15,RF LOT NO 73,3,,,,,,,,,,,,,,,,,,,,,,
LOT NO 15,RF LOT NO 49,2,,,,,,,,,,,,,,,,,,,,,,
LOT NO 15,RF LOT NO 80,26,,,,,,,,,,,,,,,,,,,,,,
LOT NO 15,RF LOT NO 56,4,,,,,,,,,,,,,,,,,,,,,,
LOT NO 15,RF LOT NO 44,1,,,,,,,,,,,,,,,,,,,,,,
LOT NO 15,RF LOT NO 71,6,,,,,,,,,,,,,,,,,,,,,,
LOT NO 15,RF LOT NO 39,2,,,,,,,,,,,,,,,,,,,,,,
LOT NO 15,RF LOT NO 05,210,,,,,,,,,,,,,,,,,,,,,,
LOT NO 15,RF LOT NO 38,6,,,,,,,,,,,,,,,,,,,,,,
LOT NO 15,RF LOT NO 52,1,,,,,,,,,,,,,,,,,,,,,,
LOT NO 15,RF LOT NO 74,1,,,,,,,,,,,,,,,,,,,,,,
LOT NO 15,RF LOT NO 46,1,,,,,,,,,,,,,,,,,,,,,,
LOT NO 15,RF LOT NO 72,7,,,,,,,,,,,,,,,,,,,,,,
LOT NO 15,RF LOT NO 07,288,,,,,,,,,,,,,,,,,,,,,,
LOT NO 15,RF LOT NO 01,6,,,,,,,,,,,,,,,,,,,,,,
LOT NO 16,RF LOT NO 06,1303,,,,,,,,,,,,,,,,,,,,,,
LOT NO 16,RF LOT NO 68,9,,,,,,,,,,,,,,,,,,,,,,
LOT NO 16,RF LOT NO 80,2,,,,,,,,,,,,,,,,,,,,,,
LOT NO 16,RF LOT NO 82,10,,,,,,,,,,,,,,,,,,,,,,
LOT NO 16,RF LOT NO 83,17,,,,,,,,,,,,,,,,,,,,,,
LOT NO 16,RF LOT NO 03,7,,,,,,,,,,,,,,,,,,,,,,
LOT NO 16,RF LOT NO 01,30,,,,,,,,,,,,,,,,,,,,,,
LOT NO 16,RF LOT NO 81,1,,,,,,,,,,,,,,,,,,,,,,
LOT NO 16,RF LOT NO 74,2,,,,,,,,,,,,,,,,,,,,,,
LOT NO 16,RF LOT NO 70,2,,,,,,,,,,,,,,,,,,,,,,
LOT NO 16,RF LOT NO 77,1,,,,,,,,,,,,,,,,,,,,,,
