Electrolyte Lot No,All,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Sum of Count,,Row Labels,Sum of OK Count,Sum of SCRAP Count,,Row Labels,Sum of OLD PCB,Sum of BARCODE MISSING,Sum of DRV BURN,Sum of TRACK DAMAGE,Sum of CHILD CARD,Sum of COMPONENT CHANGE,,Row Labels,Sum of Total Count,,,Row Labels,Sum of OK Count,Sum of SCRAP Count,Total,OK %,Scarp %
RF LOT NO 85,627,,RF LOT NO 85,488,139,,RF LOT NO 85,88,0,24,5,0,510,,LED BREAK,2,5.961251862891207e-05,,,,,,,
RF LOT NO 86,3898,,RF LOT NO 86,3284,614,,RF LOT NO 86,305,0,67,45,0,3481,,D8,2,5.961251862891207e-05,,,,,,,
Grand Total,54348,,Grand Total,33550,20798,,Grand Total,10170,163,3095,2340,475,38105,,C27,2,5.961251862891207e-05,,,,,,,
,,,,,,,,,,,,,,,J1,1,2.9806259314456036e-05,,,,,,,
,,,,,,,,,,,,,,,C15,1,2.9806259314456036e-05,,,,,,,
,,,,,,,,,,,,,,,C23,1,2.9806259314456036e-05,,,,,,,
,,,,,,,,,,,,,,,C11,1,2.9806259314456036e-05,,,,,,,
,,,,,,,,,,,,,,,C30,1,2.9806259314456036e-05,,,,,,,
,,,,,,,,,,,,,,,U1,1,2.9806259314456036e-05,,,,,,,
,,,,,,,,,,,,,,,Q3,1,2.9806259314456036e-05,,,,,,,
,,,,,,,,,,,,,,,R11,1,2.9806259314456036e-05,,,,,,,
,,,,,,,,,,,,,,,C8,1,2.9806259314456036e-05,,,,,,,
,,,,,,,,,,,,,,,R31,1,2.9806259314456036e-05,,,,,,,
,,,,,,,,,,,,,,,D32,1,2.9806259314456036e-05,,,,,,,
,,,,,,,,,,,,,,,R40,1,2.9806259314456036e-05,,,,,,,
,,,,,,,,,,,,,,,Grand Total,75523,,,,,,,,
